"您为此书添加的 Kindle 笔记：",,,
"便便来了 你的肠子在说啥？（欢脱爆笑的肠道科普知识,对便便了如指掌，是一件有勇气的事。雄踞德国亚马逊保健畅类图书畅销榜。）",,,
"作者：阿德里安•舒尔特",,,
"免费 Kindle 极速预览：",,,
"https://z.cn/7ORwvNV",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","位置 21","","每天都感觉没有干劲？！这可不太妙，毕竟我们希望每天都活力满满，我们本应该是健康又高效的状态，最好能青春永驻。然而现实并非如此，大多时候我们就是感觉—身体“不给"
"标注 (黄)","位置 22","","为了改变这种状况，我们早早走上了养生之路。健康、可持续的生活作息习惯，以及营养丰富的各类食品是养生道路上的“标"
"标注 (黄)","位置 25","","却忽视了进入之后才能见到的“正主”—掌管着一切消化及吸收功能被称为“人体第二大脑”的肠"
"标注 (黄)","位置 27","","请看一下周围的人，有多少人正遭受便秘、肠炎、痔疮、结肠憩室病以及其他肠道疾病的折磨，严重的甚至罹患"
"标注 (黄)","位置 30","","众多研究指出，不健康的肠道实际上是很多“文明病”的诱因，比如心血管疾病和癌症，脊椎健康和精神状况也会受到肠道的"
"标注 (黄)","位置 33","","就目前研究来看，维护肠道健康不是一粒药就能解决的，而是一项长期工程。药物可以治愈一时的外在症状，而肠道是否健康、肠道菌群是否平衡，很大程度上取决于我们每天吃什么、怎么吃。对脆弱的肠道而言，很多食物本身就是一种"
"标注 (黄)","位置 35","","饮食方式的巨大改变可能是削弱肠道功能的“罪魁祸首”。在过去一百年中，我们可以选择的食物越来越多，而吃饭时间却越来越短。这一改变确实给我们的健康带来了严重的"
"标注 (黄)","位置 38","","我们食用自家花园种植的新鲜蔬菜，一周吃两次优质蛋白质食物—鱼肉或猪肉，牛奶也是来自附近农庄的新鲜牛奶。尽管我们吃的食物非常健康，我父亲却大腹便便，对此我一直很困惑，后来我发现父亲吃饭很快。那时，我还没有把它与不健康的肠道联系"
"标注 (黄)","位置 43","","后来，我发现在过去的几千年中，人类的饮食结构都没发生太大的变化，“文明病”"
"标注 (黄)","位置 44","","是由于食物选择的多样化，以及生活节奏加快导致的。这也难怪我们的肠道无法"
"标注 (黄)","位置 47","","在这里，我第一次意识到，肠道与健康密切相关：一些看似与肠道无关的疾病，通过调理肠道，也可以得以改善，甚至完全治愈。从最初的惊讶，到如今我已有20年的临床经验，我成功治愈了很多"
"标注 (黄)","位置 50","","我们经常吃得又快又多，使肠道不堪重负，所以我们应该寻找一种健康、基础的饮食"
"标注 (黄)","位置 50","","不是尝试极端的营养食谱。至少，这种基础的饮食方式给肠道带来"
"标注 (黄)","位置 51","","通过阅读本书，您会了解到究竟是什么削弱了肠道功能，如何通过简单地调整日常饮食习惯恢复肠道健康，从而逐渐改善身体健康。另外，大便的气味、颜色以及性状，都是您判断肠道健康与否的重要"
"标注 (黄)","位置 56","","对大多数人来说，选择食物更重要的是"
"标注 (黄)","位置 58","","我会向您介绍几个小方法，在生活中实践这些方法，您的肠道功能就会逐渐走上正轨。我们将会从两方面入手：首先，我们来改变您的饮食习惯，然后我还准备了1个10日“健肠”计划。在我20年的从医经历中，10日“健肠”计划治愈了无数病患者。这项计划是我结合F.X.迈尔医生的理念—肠道需要休息和修护，反复实践而来。这样做不只是为了让肠道更舒适，更是预防疾病的理想"
"标注 (黄)","位置 61","","我希望，在阅读完本书后，您能判断出哪些食物是适合自己的，哪种食物应该从食谱中去掉。只要养成认真咀嚼的习惯，通常您不用大费周章就能改善排便"
"标注 (黄)","位置 87","","恶臭的便便是肠道状况变差的信号，这说明肠道环境堪"
"标注 (黄)","位置 87","","可是，这个信号仅在空气中停留几分钟，就永远消失在下水道里"
"标注 (黄)","位置 90","","当运行良好的大肠帮助我们顺利排便后，整个世界好像都变得明亮"
"标注 (黄)","位置 97","","大便的一部分是由已消化的食物残渣，以及肠道菌群不能消化的食物残渣组成。如果摄入的食物中膳食纤维含量丰富，这一部分所占的比例就会增加，大便的分量也会"
"标注 (黄)","位置 98","","脱落的小肠黏膜也是组成大便的一部分，就像皮肤黏膜一样，肠道黏膜也会定时"
"标注 (黄)","位置 106","","事实上，如果消化功能正常，不论是外观还是气味，大便都没那么让人恶心。只有当肠道出了问题，排泄物在肠道里经过非正常的发酵和腐烂，大便才会变成散发着恶臭、带有块状物的"
"标注 (黄)","位置 107","","我们再来谈一谈大便的颜色，由于摄取的食物种类不同，健康大便的颜色也会有所不同，从浅黄色到深棕色都是正常"
"标注 (黄)","位置 109","","但如果您的“彩色便便”不是因为食物导致的，那就要注意了，因为这些带颜色的便便可能是严重疾病的"
"标注 (黄)","位置 110","","当便便闻起来不对劲，你就要考虑是不是出了什么问题。正常的大便有一定气味的，但如果闻起来有酸味儿、腐败的味道，或奇臭，那多半不是一坨健康的便便！这些有特殊气味的便便在外形上也不正常，与正常大便（微硬和块茎状）相比，这类大便通常含有较多的水分，或呈黏"
"标注 (黄)","位置 113","","排便次数不是判断肠道健康的唯一"
"标注 (黄)","位置 114","","理想情况是，每天定时“卸货”。其实只要大便色味形符合标准，一天2次也"
"标注 (黄)","位置 115","","如果您排便时间规律、便便形状正常，几乎没有异常气味，那恭喜您拥有一个健康的肠"
"标注 (黄)","位置 128","","被忽视的鼻和口腔：嗅、尝、嚼与肠道"
"标注 (黄)","位置 129","","你知道吗？嗅觉、味道与咀嚼紧密相关。 如果嗅觉不灵敏，就闻不出食物的美味； 如果咀嚼不充分，味蕾就不"
"标注 (黄)","位置 133","","然而，谁来告诉我们什么能吃？什么不能吃？什么该买？买什么更好呢？当然是我们的"
"标注 (黄)","位置 138","","我们舌头上有大约10 000个味蕾会帮我们做出正确判断。人的味蕾比任何动物都要多。比如，看起来有点挑剔的猫，只有约500个味蕾，这意味着块茎类的蔬菜、菌类、谷物等，对于猫来说"
"标注 (黄)","位置 142","","气味和味道是紧密相连的。在感冒的时候，您一定深有体会，即便再美味的食物，也没有食欲。我们往往认为这是身体虚弱导致的胃口不佳，实际上是"
"标注 (黄)","位置 144","","堵住了鼻子，妨碍了嗅觉，尝出的味道不佳。或者您试试在吃饭时捏住鼻子，再美味的食物也勾不起"
"标注 (黄)","位置 145","","味蕾是如何工作的呢？您必须尽可能长时间咀嚼食物才可能激发"
"标注 (黄)","位置 146","","因为时间太短，还不足以激活"
"标注 (黄)","位置 146","","只有味蕾变得活跃，我们才能真正品尝到味道，还会有惊喜的事情发生—大脑会释放令人快乐的多巴胺、放松的血清素，以及让人感觉轻松的阿片肽。这类神经递质素不仅会让人全身放松，还会产生饱腹"
"标注 (黄)","位置 148","","可惜味蕾太容易上当了。某种食物看似对健康有益，尝起来也不错，大脑就会认为自己做出了正确的"
"标注 (黄)","位置 150","","添加剂几乎成为食品加工厂必不可少的成分。如果没有添加剂，这个时代的很多食品就不会出现在餐桌上。这类食品有一个共同特点，入口"
"标注 (黄)","位置 151","","香气四溢，稍加咀嚼便寡淡无味，细细品味甚至让人想吐。而那些真正对身体有益的食材，是不怕咀嚼"
"标注 (黄)","位置 152","","味道不是只有酸甜苦咸那么简单，它还可以通过味蕾向消化道传递信号。比如吃甜食时，甜味儿会刺激胰腺分泌胰岛素。胰岛素可以帮助分解食物中的糖分，降低血糖。需要提醒减肥朋友，当胰岛素工作时候，不会消耗脂肪，因为血液中胰岛素含量升高，会抑制脂肪代谢。毕竟糖类富含能量，易于分解，只要糖分存在，跑去代谢脂肪是一件不划算的事。在两餐之间食用甜食，会影响糖类和脂肪的"
"标注 (黄)","位置 156","","同时味蕾也会把味道报告给消化系统，以便让它提前"
"标注 (黄)","位置 157","","请您想象一下：我们正在食用草莓味儿的酸奶，没有真正的草莓，这时味蕾向消化系统报告发现“草莓”，肠胃的“工人们”急忙准备处理草莓要用的“"
"标注 (黄)","位置 159","","这种“报假警”就像狼来了的故事，一次又一次白跑的“工人们”，回去之后肯定要郁闷一段时间，之后也不那么情愿来"
"标注 (黄)","位置 161","","要想消化好，牙齿不能偷懒 咀嚼是消化的第一步，也是您能主动参与的重要一步，可见咀嚼对消化的重要性。口腔的消化过程由两部分组成：一是唾液的分泌，二是我们可干预的咀嚼"
"标注 (黄)","位置 165","","唾液分泌有两种方式，一种是非条件反射分泌"
"标注 (黄)","位置 166","","唾液，我们暂且称它为口水。当食用甜味或辛辣的食物时，会刺激它分泌来平衡"
"标注 (黄)","位置 166","","另一类是条件反射引起的唾液分泌，这类唾液只有在主动咀嚼时才会"
"标注 (黄)","位置 168","","有人可能会说，喝一点饮料，照样能冲下去，根本无须费力咀嚼。您再往下阅读，就知道为什么这样做胃要遭殃"
"标注 (黄)","位置 169","","唾液中的唾液淀粉酶还可以帮助消化碳水化合物。处理碳水化合物的工作在口腔中就已经开始"
"标注 (黄)","位置 170","","您可以尝试一下，一口老面包至少咀嚼30次。在咀嚼的过程中，您会发现面包慢慢变甜。这是因为食物中的淀粉与唾液中的唾液淀粉酶充分混合，淀粉被分解成麦芽糖，我们因此品尝到"
"标注 (黄)","位置 172","","充分咀嚼的作用不仅限于此，通过咀嚼可以把食物磨成小块，保证接下来的消化过程顺利进行，"
"标注 (黄)","位置 173","","还能带来强烈的味觉体验。这种由咀嚼带来的美味，会产生一种特有的饱腹感，我们不需要把胃塞满就能感到满足。通过咀嚼，我们可以享受一顿没有腹胀和疲劳感的"
"标注 (黄)","位置 174","","有研究表明，习惯充分咀嚼的人，摄入的热量相对较少，该研究记录了体重正常者和超重者两类人群的饮食习惯。结果发现，超重者每口食用的食物并不比体重正常者多，但他们吃饭时狼吞虎咽，咀嚼次数少，吃饭的时间更短。该研究表明，充分咀嚼可以减少摄入11.9%的热量。正常人每天摄入约2 000卡路里 1，如果不充分咀嚼，每天就会多摄入238卡路里，一年下来累计下来就是86 870卡路里，十分惊人。把这些热量换算成脂肪，相当于10"
"标注 (黄)","位置 180","","充分咀嚼可以抑制血液中的食欲刺激素的分泌—简单来说，就是不容易"
"标注 (黄)","位置 181","","咀嚼时，血液中抑制"
"标注 (黄)","位置 181","","的胰高血糖素样肽-1以及胆囊收缩素的含量上升，这两种激素都有抑制食欲的"
"标注 (黄)","位置 182","","咀嚼不仅可以减少热量的摄入，还能促进大脑的血液循环，提高思维效率。进行肠道手术后，咀嚼还能促进肠道恢复。"
"标注 (黄)","位置 188","","每个人都想为自己的健康负责，方法越简单越受欢迎。咀嚼是既简单又改善消化的"
"标注 (黄)","位置 189","","而随着生活节奏加快，社会竞争加剧，高效工作才是"
"标注 (黄)","位置 189","","细嚼慢咽，实在太耗时了！于是候诊室里的人越来越多，人们有时间在医院候诊，却没时间好好"
"标注 (黄)","位置 191","","吃饭时间越来越短，吃得越来越快，而吃下的食物"
"标注 (黄)","位置 192","","在速食时代,越来越多的香精让回归天然饮食变得更加困难。添加了香精的食品经不起细细咀嚼，只要多嚼一会儿，美味就会消失。这样看来，速食是有原因的，毕竟要在味蕾反应之前把它咽下"
"标注 (黄)","位置 198","","在大约一百年以前，霍尔斯·弗莱彻曾通过细嚼慢咽改善自己的健康"
"标注 (黄)","位置 200","","他是一名成功的商人，通过大规模生产和销售奶酪成为一个富有的"
"标注 (黄)","位置 201","","在48岁时，身高164厘米的霍尔斯·弗莱彻体重足有98.6千克，腰围竟有155厘米。他常常感到精神"
"标注 (黄)","位置 202","","疲惫乏力、心悸，关节也深受痛风的"
"标注 (黄)","位置 203","","一位精神矍铄的老人向他建议道：“你应该多跑跑步，吃饭时多"
"标注 (黄)","位置 206","","在实践期间，弗莱彻每口食物都会嚼30下，平均每餐咀嚼2 500下，用餐时间约为30"
"标注 (黄)","位置 207","","在两餐之间，他只"
"标注 (黄)","位置 208","","几周前，他还在为自己疲惫的消化道担心，他的排便没有规律。而细嚼慢咽后，他的便便每天准时“出货”，而且完全没有"
"标注 (黄)","位置 209","","坚持了短短4个月，弗莱彻的身体状况发生了彻底的转变。他感觉到自己身体健康，精力十足，关节也不痛了，一天骑行150千米也不会感觉"
"标注 (黄)","位置 214","","美国心理学会主席罗素·奇滕登教授对他进行了健康检测，发现弗莱彻的身体和精神状况相当于20多岁勤于锻炼的"
"标注 (黄)","位置 227","","2. 大肠、小肠有话说：咀嚼不足，肠道就会被"
"标注 (黄)","位置 227","","如果牙齿是消化道流水线上的第一位“工人”，那胃就是第二个。牙齿偷懒不好好干活，胃的工作量就会"
"标注 (黄)","位置 235","","咽反射可以防止我们吞下未嚼碎的食物。而主动吞咽可以影响咽反射，比如服药就需要依靠主动"
"标注 (黄)","位置 236","","实际上，我们经常滥用主动吞咽指令，命令咽喉吞下未经好好咀嚼的"
"标注 (黄)","位置 237","","由于没有足够的唾液润滑，这类食物很难下咽，所以我们常常借助饮料将食物冲刷下去，但这不能称为“吞咽”。长此以往，咽喉对大块食物越来越不敏感，咽反射被启动的频率越来越低，这样消化系统就要承担额外的"
"标注 (黄)","位置 240","","被牙齿嚼碎的食物经由食管蠕动，几秒后就能到达"
"标注 (黄)","位置 243","","喝冷饮时，贲门因受到刺激拒绝打开，冷饮会在食管内停留一段时间，我们会感觉胸椎后面隐隐作痛。当食管把冷饮加热到适宜温度后，才会送入胃里。胸椎的疼痛会消退，但对食管的伤害是长期的。快速大口喝下的冷饮，过量的酒，充满人造香精的饮料以及一杯简单的咖啡，都会阻碍贲门正常"
"标注 (黄)","位置 245","","贲门的主要工作是防止胃酸反流，灼伤"
"标注 (黄)","位置 246","","贲门把守不严，强烈的胃酸时常与食管接触，就容易诱发炎症，我们会感觉胃上部有灼热感，胸椎后有被压迫"
"标注 (黄)","位置 249","","不管吃下什么，胃都会把这些食物处理成糊状。通常在接收食物后的一个半小时以内，这些食物就会被处理好，推向"
"标注 (黄)","位置 251","","当食物小于0.2毫米时才能进入下一环节，否则就要留在胃里继续"
"标注 (黄)","位置 252","","消化食物需要胃酸的帮助，这一过程又会持续很长时间。匆忙咽下的食物与胃酸充分混合后，在胃的蠕动作用下被磨成小块状，没有被充分咀嚼的食物会在胃里停留8〜10"
"标注 (黄)","位置 256","","我们没有10个小时来让胃处理牙齿本该做的工作。进餐3〜4小时后，我们就要开始下一次进食。此时，胃仍在蠕动，从长远来看这并不是一件好事。胃会越来越疲惫，胃口的检察员—幽门也会疲惫。它等不到把肉变成流体状态，于是早早将它"
"标注 (黄)","位置 258","","肉本应该在胃里被处理成流质，再与十二指肠中的消化酶混合，变成小分子物质被肠道全部吸收，到达大肠中几乎已经没有营养物质"
"标注 (黄)","位置 260","","要是您隔三岔五往胃里送几块没嚼碎的肉块，那很难保证消化道的健康。胃没有消化掉的食物，小肠也消化不了，因为小肠主管吸收。由于结肠很长，是细菌的天堂，对腐败菌来说，没嚼碎的肉就像天上掉下来的“馅饼”，肉块咀嚼的次数越少，细菌可以用来腐败、发酵的部分就"
"标注 (黄)","位置 262","","给胃造成负担的不只是糟糕的咀嚼。当胃在工作时，胃酸会分解食物，一个捣乱的朋友经常出现：冰冷的气泡"
"标注 (黄)","位置 263","","如果饮品是热的、不起泡的，可以直接通过胃进入十二指肠，而冰水或气泡水会加大胃"
"标注 (黄)","位置 264","","工作"
"标注 (黄)","位置 264","","即使肠胃已经非常疲惫了，它也不会放行冰冷的气泡水。这些液体会停留在胃中，稀释胃酸，浓度不够的胃酸意味着要花更长时间消化"
"标注 (黄)","位置 266","","您可以尝试一下，空腹时喝一杯冰的气泡水。如果这种饮品立刻通过胃，那释放的气体就会使小肠充气，当然这不会发生。气泡水中的气体会留在胃里，顶着膈肌，阻碍肺的运动，使呼吸变得"
"标注 (黄)","位置 267","","几声响亮的饱嗝过后，胃就有地方空出来，您还能再喝"
"标注 (黄)","位置 269","","温的、不起泡的水对肠胃是有益的，其他很多饮品不过是折磨我们的胃"
"标注 (黄)","位置 270","","除了气泡水和未被充分咀嚼的食物，还有一样是胃不能容忍的—大量的"
"标注 (黄)","位置 270","","如果一顿饭摄入过多的油脂，信号传到幽门处，胃就会通知胆囊释放"
"标注 (黄)","位置 271","","胆汁是油脂克星，专门用于消化它。如果没有足够的胆汁，胃就会停止消化油脂，等过一两个小时，这坨油脂还在胃里。我们会感觉腹胀，满满的腹腔会压迫"
"标注 (黄)","位置 273","","你可能想要喝杯杜松子酒压一压，貌似确实管用。杜松子酒几秒之内顺利到达胃，呼吸顺畅了，又能继续吃了，真好！实际上，杜松子酒并不会刺激消化，它只是刺激了胃的入口，胃收缩了一下，在上腹部空出一点位置。看似舒服了，对胃来说真正的折磨才刚开始。这就像是拿鞭子抽打一头疲惫的老驴，希望它穿过茫茫草原，但它不会因此变得"
"标注 (黄)","位置 276","","诺曼底地区的人们把烈酒助食当作习惯。在第一轮酒足饭饱后，喝点烈酒压一压，胃中有空间，再开始第二轮进食。诺曼底地区是欧洲罹患食管癌的高发区，发病部位多是食管末端与胃入口相连接"
"标注 (黄)","位置 278","","而低度酒，比如红酒或啤酒，有助于刺激消化腺。对一些人来说，它有开胃的作用。一项调查显示，用低度酒佐餐可以增加15% 的"
"标注 (黄)","位置 284","","如果说牙齿是消化道流水线上的第一个“工人”，那胃就是第二个。第二个“工人”为了弥补第一个“工人”的疏漏，必须不停地工作。长此以往，胃会疲惫不堪，甚至不能正常"
"标注 (黄)","位置 285","","而冷饮、气泡水和"
"标注 (黄)","位置 285","","的晚餐会让胃的工作更加"
"标注 (黄)","位置 286","","当牙齿懒洋洋地度假时，胃却要紧急处理牙齿偷懒留下的超量工作，第二个“工人”的精力很快被耗尽，良好的消化基础也因此被"
"标注 (黄)","位置 287","","拯救疲惫的第二个“工人”是很容易的：您下次吃饭时，只要稍微有点饱腹感就停下来，晚饭尽量少吃一点，这样胃就会很开心。同时，您别忘了监督第一个“工人”好好干活，多嚼几下，在吃饭时或饭后不要饮用冰水或气泡水，这样胃就能够成轻松、健康地消化"
"标注 (黄)","位置 290","","十二指肠的长度有十二根手指并起来那么长，因而"
"标注 (黄)","位置 291","","幽门括约肌将它与胃分隔"
"标注 (黄)","位置 293","","十二指肠大乳头是胰管和胆总管汇合后的共同开口，胰液和胆汁在这里与食物"
"标注 (黄)","位置 295","","肝细胞分泌的胆汁对消化脂肪至关重要；胰腺分泌的消化酶负责处理其他营养物质，尤其是糖类、脂肪、"
"标注 (黄)","位置 297","","人体需要多少胆汁和胰液参与消化，是由幽门末端的感知细胞去报信。如果吃得很油腻，大约需要1升胆汁参与"
"标注 (黄)","位置 298","","如果摄取的蛋白质非常丰富，每天参与消化的胰液最多可达2"
"标注 (黄)","位置 299","","晚餐过量的问题就在于此，如果我们感觉疲惫，消化器官根本分泌不出足够的消化液，食物就很难被"
"标注 (黄)","位置 302","","小肠：消化、吸收的主力"
"标注 (黄)","位置 303","","经过十二指肠的缓冲，食物进入小肠，食物的运动速度就像蜗牛一样，将耗时2小时走完6米的全程。在这2小时内，小肠会利用超大的吸收面积—300平方米，吸收食物中的"
"标注 (黄)","位置 309","","小肠的表面积有300"
"标注 (黄)","位置 309","","流质的食物在小肠内停留2小时左右，足以被小肠分解、吸收，运送到下一站。为此，小肠需要不断"
"标注 (黄)","位置 310","","有别于胃消化时的大幅度摆动，肠道的蠕动更接近食管的缓慢"
"标注 (黄)","位置 311","","区别在于，经食管运输后，食物的量不变；而经过小肠后，食物的量会"
"标注 (黄)","位置 317","","在小肠中，我们吃下的营养物质，比如蛋白质、碳水化合物以及脂肪都会被消化酶分解成小块，被上皮细胞吸收进入"
"标注 (黄)","位置 323","","如果消化过程因为肠梗阻被打断，那肠梗阻引发的一系列后果会非常"
"标注 (黄)","位置 325","","一旦消化过程被打断，细菌就会像脱缰的野马一样，在肠道里奔驰，这才是让状况变糟的真"
"标注 (黄)","位置 327","","对于未处理好的食物，肠道无能为力，同时它还要应对入侵者的攻击。这一切让每天加班加点工作的肠道得不到充分的休息，久而久之，它就会生病，甚至"
"标注 (黄)","位置 329","","位于大肠和小肠之间的是回盲瓣，主要作用是防止食物残渣、细菌逆流进入小肠。一般情况下，小肠的食物残渣会直接进入大肠，回盲瓣可以确保这条道路单向"
"标注 (黄)","位置 333","","大肠：细菌和寄生虫的"
"标注 (黄)","位置 334","","随着年龄增长，大肠越来越懒。大肠变懒的原因有"
"标注 (黄)","位置 334","","一般来说，在正常的情况下，经由小肠吸收后的食物残渣，要在大肠内停留十几个"
"标注 (黄)","位置 335","","随着时间的推移，大肠就会开始犯“懒”，失去紧张感。因为身体的功能会随着年龄增长而衰退。这种“大肠变懒”是生理性"
"标注 (黄)","位置 340","","相较于其他脏器对细菌“零容忍”的态度，大肠可以说是细菌和寄生虫的天堂。在大肠里定居的细菌比地球上人口还多1.5"
"标注 (黄)","位置 341","","大肠的主要任务并不是繁殖细菌，而是吸收来自小肠流质食物中的水分，大约1.5升"
"标注 (黄)","位置 342","","这对于我们来说非常重要，不然就需要额外补充"
"标注 (黄)","位置 343","","大肠通常只负责回收水分和无机盐，虽然名为大肠，却比小肠短。为了方便逐渐失水的便便顺利通过，大肠比小肠稍微粗"
"标注 (黄)","位置 347","","对于逐渐失水的食物残渣来说,通过横结肠平坦的路途很"
"标注 (黄)","位置 348","","这种悬挂结构的问题在于，固定用的肠系膜会"
"标注 (黄)","位置 350","","这段波折的旅途，不仅会延长食物残渣停留的时间，同时会吸收肠道中的水分，这就给食物残渣向下运输造成"
"标注 (黄)","位置 351","","肠道运输困难最直接的后果就是便秘，或是便便不能每天按时报到，或是便便又干又硬，“出货”的痛苦"
"标注 (黄)","位置 352","","那些未被消化吸收的食物残渣会在大肠变为细菌的食物，并在这里腐败、发酵。大便难闻的气味，以及肠道中多余的气体大多来自这个"
"标注 (黄)","位置 354","","您是否患过严重的肠炎呢？也就是您吃下去的食物，可能又原封不动地排出来了。肠炎大大缩短了食物在小肠和大肠中的停留时间。正常情况下，未消化的食物残渣在大肠中被细菌分解，例如，半消化的肉会腐败，半消化的蔬菜会被"
"标注 (黄)","位置 357","","这种分解过程将会产生有毒物质，部分有毒物质有致癌作用，有的会诱发炎症。大肠总是遭到毒害，长此以往，失去活力也就不意外"
"标注 (黄)","位置 358","","对于这种化学刺激，大肠并不会坐视不理，而是尽量将其伤害降到最低。它会分泌更多的大肠液来稀释有毒物质，同时会加快蠕动，将有害物质尽快排出体外。所以肠会发出肚子疼的信号，提醒我们下次"
"标注 (黄)","位置 360","","一旦大肠变得非常疲惫，这种防御机制很难被启动，正如疲惫的胃和小肠那样。那时，便便的形态和异常气味是提醒我们的线索：肠道有些不对"
"标注 (黄)","位置 363","","大肠的内表面相对光滑，有穹隆状的"
"标注 (黄)","位置 363","","在大肠的起始端(与小肠相连接处),有一截向下突出的盲囊,称为盲肠。在袋子一样的盲肠下方有像绳子一样的东西，乍看像是寄生虫，这就是"
"标注 (黄)","位置 366","","在儿童时期，这些细菌的进食过程容易诱发炎症—盲肠炎。但发炎后被切除的不是盲肠，而是可怜的阑尾。因为阑尾比较脆弱，经不起细菌的"
"标注 (黄)","位置 378","","肠道恶性肿瘤，也就是肠癌，发生在盲肠附近的约占30%，而其余70%发生在直肠里，也就是大肠的最后"
